BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
BROOKLYN,40.619736,-73.98958,12,0,3,0,0,Traffic Control Disregarded,Sedan,0
BROOKLYN,40.695133,-73.9307,11,3,11,0,0,Following Too Closely,Bike,1
BROOKLYN,40.62158,-73.94975,16,4,8,0,1,Unspecified,Sedan,1
MANHATTAN,40.7478537,-73.9929082,20,5,11,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0
,,,16,4,12,0,1,Failure to Yield Right-of-Way,UNKNOWN,0
BROOKLYN,40.6056754,-73.9669612,17,1,9,0,1,Passenger Distraction,PASSENGER VEHICLE,1
BROOKLYN,40.7062111,-73.9395971,13,5,7,1,0,Unspecified,SPORT UTILITY / STATION WAGON,1
,40.577213,-73.96329,15,2,4,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7408734,-73.9879831,16,4,11,0,1,Unspecified,UNKNOWN,0
MANHATTAN,40.8165,-73.946556,21,3,9,0,0,Unspecified,Bike,1
BROOKLYN,40.68138,-73.95352,22,4,12,0,0,Failure to Yield Right-of-Way,,0
BROOKLYN,40.635788,-73.959526,0,3,12,0,0,Unspecified,Sedan,0
BRONX,40.84219,-73.89411,10,3,5,0,0,Driver Inattention/Distraction,Taxi,0
,40.756474,-73.94727,19,1,2,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,1
BRONX,40.8381602,-73.9232326,23,3,5,0,0,Driver Inattention/Distraction,UNKNOWN,0
BRONX,40.8167662,-73.8647483,6,1,9,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BRONX,40.844715,-73.91228,17,2,6,0,1,Unspecified,4 dr sedan,0
BROOKLYN,40.600628,-74.00058,17,6,12,1,1,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.7158845,-73.9828508,15,3,5,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,1
BROOKLYN,40.712757,-73.95682,13,3,9,0,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.70138,-73.9551,10,1,6,0,0,Failure to Yield Right-of-Way,Sedan,0
MANHATTAN,40.736004,-73.993614,18,4,3,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,1
,40.641747,-74.013824,10,5,6,1,0,Unspecified,PICK UP,1
,40.686367,-73.929756,13,3,9,0,0,Driver Inattention/Distraction,Taxi,1
,40.669403,-73.94221,10,3,8,0,0,Driver Inattention/Distraction,Sedan,1
,40.734837,-73.98312,13,3,9,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
